sample_id,name_key,name,n_playlists,has_purpose,purpose_note,confidence,model
3201,old school cool,Old School Cool,51,no,,,gpt-4o-mini
3202,partayy,PARTAYY,51,yes,party atmosphere,high,gpt-4o-mini
3203,passionfruit,Passionfruit,51,no,,,gpt-4o-mini
3204,princess,Princess,51,no,,,gpt-4o-mini
3205,pt,PT,51,no,,,gpt-4o-mini
3206,random jams,random jams,51,no,,,gpt-4o-mini
3207,ratch,RATCH,51,no,,,gpt-4o-mini
3208,real chill,Real Chill,51,no,,,gpt-4o-mini
3209,restorative,Restorative,51,yes,restorative listening,mid,gpt-4o-mini
3210,run 2,run 2,51,yes,running activity,high,gpt-4o-mini
3211,sarah's playlist,Sarah's Playlist,51,no,,,gpt-4o-mini
3212,school music,School music,51,no,,,gpt-4o-mini
3213,sf,SF,51,no,,,gpt-4o-mini
3214,singing songs,SiNgInG sOnGs,51,no,,,gpt-4o-mini
3215,spoopy,spoopy,51,no,,,gpt-4o-mini
3216,summer lovin',summer lovin',51,yes,summer vibes,mid,gpt-4o-mini
3217,the good ones,the good ones,51,no,,,gpt-4o-mini
3218,the grind,The Grind,51,yes,work motivation,high,gpt-4o-mini
3219,throwback party,ThRoWbAcK PaRtY,51,yes,throwback party,high,gpt-4o-mini
3220,vibe out,Vibe Out,51,no,,,gpt-4o-mini
3221,wet,wet,51,no,,,gpt-4o-mini
3222,who knows,who knows,51,no,,,gpt-4o-mini
3223,work out mix,Work out Mix,51,yes,workout mix,high,gpt-4o-mini
3224,workout 2.0,Workout 2.0,51,yes,workout session,high,gpt-4o-mini
3225,yeee,yeee,51,no,,,gpt-4o-mini
3226,👌🏽,👌🏽,51,no,,,gpt-4o-mini
3227,2000s r&b,2000s r&b,50,no,,,gpt-4o-mini
3228,2017 favorites,2017 Favorites,50,no,,,gpt-4o-mini
3229,2am,2am,50,no,,,gpt-4o-mini
3230,666,666,50,no,,,gpt-4o-mini
3231,????,????,50,no,,,gpt-4o-mini
3232,al,al,50,no,,,gpt-4o-mini
3233,autumn 2017,Autumn 2017,50,yes,autumn season,mid,gpt-4o-mini
3234,aux cord,aux cord,50,no,,,gpt-4o-mini
3235,baby girl,Baby girl,50,no,,,gpt-4o-mini
3236,barcelona,Barcelona,50,no,,,gpt-4o-mini
3237,bethel,BETHEL,50,no,,,gpt-4o-mini
3238,better days,better days,50,no,,,gpt-4o-mini
3239,birthday mix,Birthday Mix,50,yes,birthday celebration,high,gpt-4o-mini
3240,californication,Californication,50,no,,,gpt-4o-mini
3241,candy,Candy,50,no,,,gpt-4o-mini
3242,christ,Christ,50,no,,,gpt-4o-mini
3243,cj,Cj,50,no,,,gpt-4o-mini
3244,clean music,Clean music,50,no,,,gpt-4o-mini
3245,country 2017,country 2017,50,no,,,gpt-4o-mini
3246,country2,country2,50,no,,,gpt-4o-mini
3247,country<3,Country<3,50,no,,,gpt-4o-mini
3248,crowd pleasers,Crowd Pleasers,50,yes,party favorites,high,gpt-4o-mini
3249,crying,crying,50,no,,,gpt-4o-mini
3250,daily mix 2,Daily Mix 2,50,no,,,gpt-4o-mini
3251,dazed,Dazed,50,no,,,gpt-4o-mini
3252,de todo,De todo,50,no,,,gpt-4o-mini
3253,death,death,50,no,,,gpt-4o-mini
3254,dirt,Dirt,50,no,,,gpt-4o-mini
3255,disney throwbacks,Disney throwbacks,50,yes,nostalgic Disney songs,high,gpt-4o-mini
3256,duranguense,Duranguense,50,no,,,gpt-4o-mini
3257,ear candy,Ear Candy,50,no,,,gpt-4o-mini
3258,erg,erg,50,no,,,gpt-4o-mini
3259,fire🔥🔥,Fire🔥🔥,50,no,,,gpt-4o-mini
3260,gettin ready,gettin ready,50,yes,getting ready,high,gpt-4o-mini
3261,hip hop mix,Hip Hop Mix,50,no,,,gpt-4o-mini
3262,hip to the hop,Hip to the Hop,50,no,,,gpt-4o-mini
3263,indie/alt,Indie/Alt,50,no,,,gpt-4o-mini
3264,iv,IV,50,no,,,gpt-4o-mini
3265,jesse,Jesse,50,no,,,gpt-4o-mini
3266,kid cudi,Kid Cudi,50,no,,,gpt-4o-mini
3267,kids music,Kids Music,50,yes,music for kids,high,gpt-4o-mini
3268,la la la,la la la,50,no,,,gpt-4o-mini
3269,labor day,Labor Day,50,yes,Labor Day celebration,high,gpt-4o-mini
3270,lana,LANA,50,no,,,gpt-4o-mini
3271,life is beautiful,Life is Beautiful,50,no,,,gpt-4o-mini
3272,litmas,LITMAS,50,yes,Christmas celebration,high,gpt-4o-mini
3273,meep,meep,50,no,,,gpt-4o-mini
3274,melo,melo,50,no,,,gpt-4o-mini
3275,moonlight,Moonlight,50,no,,,gpt-4o-mini
3276,moves,moves,50,no,,,gpt-4o-mini
3277,my worship,My Worship,50,no,,,gpt-4o-mini
3278,new edm,New EDM,50,no,,,gpt-4o-mini
3279,old skool rap,Old Skool Rap,50,no,,,gpt-4o-mini
3280,old tunes,old tunes,50,no,,high,gpt-4o-mini
3281,on my mind,On My Mind,50,no,,high,gpt-4o-mini
3282,p&w,P&W,50,no,,high,gpt-4o-mini
3283,paige,Paige,50,no,,high,gpt-4o-mini
3284,partayyyy,partayyyy,50,yes,party atmosphere,high,gpt-4o-mini
3285,party party party,Party Party Party,50,yes,party atmosphere,high,gpt-4o-mini
3286,patriotic,Patriotic,50,no,,high,gpt-4o-mini
3287,r&b jams,R&B Jams,50,no,,high,gpt-4o-mini
3288,rat pack,rat pack,50,no,,high,gpt-4o-mini
3289,reminisce,reminisce,50,no,,high,gpt-4o-mini
3290,revolution,Revolution,50,no,,high,gpt-4o-mini
3291,sad :(,sad :(,50,no,,high,gpt-4o-mini
3292,scream,Scream,50,no,,high,gpt-4o-mini
3293,skinny love,Skinny Love,50,no,,high,gpt-4o-mini
3294,slap,Slap,50,no,,high,gpt-4o-mini
3295,songs that make me think of you,songs that make me think of you,50,no,,high,gpt-4o-mini
3296,southern,southern,50,no,,high,gpt-4o-mini
3297,stephanie,Stephanie,50,no,,high,gpt-4o-mini
3298,strength,strength,50,no,,high,gpt-4o-mini
3299,study hall,Study Hall,50,yes,study session,high,gpt-4o-mini
3300,study tunes,Study Tunes,50,yes,study session,high,gpt-4o-mini
3301,summer 16',summer 16',50,no,,high,gpt-4o-mini
3302,summer breeze,Summer Breeze,50,no,,high,gpt-4o-mini
3303,sure,sure,50,no,,high,gpt-4o-mini
3304,throwing it back,throwing it back,50,yes,nostalgic vibes,mid,gpt-4o-mini
3305,valentine,valentine,50,no,,high,gpt-4o-mini
3306,wub wub,Wub Wub,50,no,,high,gpt-4o-mini
3307,❤️❤️❤️❤️,❤️❤️❤️❤️,50,no,,high,gpt-4o-mini
3308,😈😈😈,😈😈😈,50,no,,high,gpt-4o-mini
3309,( ͡° ͜ʖ ͡°),( ͡° ͜ʖ ͡°),49,no,,high,gpt-4o-mini
3310,--,--,49,no,,high,gpt-4o-mini
3311,andrea,Andrea,49,no,,high,gpt-4o-mini
3312,ap,ap,49,no,,high,gpt-4o-mini
3313,awake,Awake,49,yes,wake up energy,mid,gpt-4o-mini
3314,baby makin,Baby Makin,49,yes,romantic setting,mid,gpt-4o-mini
3315,bar,Bar,49,no,,high,gpt-4o-mini
3316,beach bum,beach bum,49,yes,beach vibes,mid,gpt-4o-mini
3317,beets,Beets,49,no,,high,gpt-4o-mini
3318,blue grass,blue grass,49,no,,high,gpt-4o-mini
3319,brain food,Brain food,49,yes,focus and concentration,high,gpt-4o-mini
3320,chance the rapper,Chance The Rapper,49,no,,,gpt-4o-mini
3321,cheer up,Cheer up,49,yes,to uplift mood,mid,gpt-4o-mini
3322,choreo,Choreo,49,yes,for dance routines,high,gpt-4o-mini
3323,cool jams,COOL JAMS,49,no,,,gpt-4o-mini
3324,cruzin,Cruzin,49,yes,for driving,high,gpt-4o-mini
3325,dancing on my own,Dancing on my own,49,yes,for self-empowerment,mid,gpt-4o-mini
3326,dope music,dope music,49,no,,,gpt-4o-mini
3327,down south,Down South,49,no,,,gpt-4o-mini
3328,drifting,Drifting,49,yes,for relaxation,mid,gpt-4o-mini
3329,drops,Drops,49,no,,,gpt-4o-mini
3330,eagles,Eagles,49,no,,,gpt-4o-mini
3331,f e e l s,f e e l s,49,no,,,gpt-4o-mini
3332,fall 14,Fall 14,49,no,,,gpt-4o-mini
3333,halloween 2016,Halloween 2016,49,no,,,gpt-4o-mini
3334,happy birthday,Happy Birthday,49,yes,for birthday celebrations,high,gpt-4o-mini
3335,high school jams,High School Jams,49,yes,nostalgic high school vibes,mid,gpt-4o-mini
3336,hmmmm,Hmmmm,49,no,,,gpt-4o-mini
3337,homesick,homesick,49,no,,,gpt-4o-mini
3338,howdy,howdy,49,no,,,gpt-4o-mini
3339,imagine,Imagine,49,no,,,gpt-4o-mini
3340,india,India,49,no,,,gpt-4o-mini
3341,isaac,Isaac,49,no,,,gpt-4o-mini
3342,jah,jah,49,no,,,gpt-4o-mini
3343,jump,Jump,49,yes,for energetic activities,high,gpt-4o-mini
3344,kitchen,kitchen,49,yes,for cooking,mid,gpt-4o-mini
3345,l o v e,L O V E,49,no,,,gpt-4o-mini
3346,love music,Love Music,49,no,,,gpt-4o-mini
3347,mixes,Mixes,49,no,,,gpt-4o-mini
3348,moments,moments,49,no,,,gpt-4o-mini
3349,motivational,motivational,49,yes,for motivation,high,gpt-4o-mini
3350,my house,My House,49,no,,,gpt-4o-mini
3351,nat,Nat,49,no,,,gpt-4o-mini
3352,october 2013,October 2013,49,no,,,gpt-4o-mini
3353,old bops,old bops,49,no,,,gpt-4o-mini
3354,pizza,Pizza,49,no,,,gpt-4o-mini
3355,play me,play me,49,no,,,gpt-4o-mini
3356,pump up jams,Pump Up Jams,49,yes,for energizing,high,gpt-4o-mini
3357,quality,QUALITY,49,no,,,gpt-4o-mini
3358,rockin out,Rockin Out,49,yes,for lively gatherings,mid,gpt-4o-mini
3359,san diego,San Diego,49,no,,,gpt-4o-mini
3360,saved songs,Saved songs,49,no,,high,gpt-4o-mini
3361,september 17,September 17,49,no,,high,gpt-4o-mini
3362,sexual,Sexual,49,no,,high,gpt-4o-mini
3363,sing along songs,Sing along songs,49,yes,sing along songs,high,gpt-4o-mini
3364,sleep time,Sleep Time,49,yes,sleep time,high,gpt-4o-mini
3365,sober,Sober,49,no,,high,gpt-4o-mini
3366,southern comfort,southern comfort,49,no,,high,gpt-4o-mini
3367,spotify and chill,spotify and chill,49,yes,chill with Spotify,mid,gpt-4o-mini
3368,spring break 2016,SPRING BREAK 2016,49,no,,high,gpt-4o-mini
3369,straight chillin,straight chillin,49,yes,chill out,mid,gpt-4o-mini
3370,summer ☀️,Summer ☀️,49,no,,high,gpt-4o-mini
3371,sunday vibes,Sunday Vibes,49,no,,high,gpt-4o-mini
3372,swoon,swoon,49,no,,high,gpt-4o-mini
3373,sydney,Sydney,49,no,,high,gpt-4o-mini
3374,tay,Tay,49,no,,high,gpt-4o-mini
3375,that mood,that mood,49,no,,high,gpt-4o-mini
3376,the great gatsby,The great Gatsby,49,no,,high,gpt-4o-mini
3377,throwin' it back,Throwin' it back,49,yes,nostalgic throwback,mid,gpt-4o-mini
3378,tim,Tim,49,no,,high,gpt-4o-mini
3379,war,War,49,no,,high,gpt-4o-mini
3380,what i like,what i like,49,no,,high,gpt-4o-mini
3381,workflow,workflow,49,yes,work-related,high,gpt-4o-mini
3382,workin,Workin,49,yes,workout or work,high,gpt-4o-mini
3383,yasssss,yasssss,49,no,,high,gpt-4o-mini
3384,yeeee,yeeee,49,no,,high,gpt-4o-mini
3385,yosemite,Yosemite,49,no,,high,gpt-4o-mini
3386,you.,You.,49,no,,high,gpt-4o-mini
3387,✌🏼️,✌🏼️,49,no,,high,gpt-4o-mini
3388,💕💕💕,💕💕💕,49,no,,high,gpt-4o-mini
3389,💗💗,💗💗,49,no,,high,gpt-4o-mini
3390,💪🏼,💪🏼,49,no,,high,gpt-4o-mini
3391,🔥lit🔥,🔥Lit🔥,49,no,,high,gpt-4o-mini
3392,4 u,4 U,48,no,,high,gpt-4o-mini
3393,8th grade,8th Grade,48,no,,high,gpt-4o-mini
3394,90s dance,90s Dance,48,no,,high,gpt-4o-mini
3395,aaaa,aaaa,48,no,,high,gpt-4o-mini
3396,alt/indie,Alt/Indie,48,no,,high,gpt-4o-mini
3397,anniversary,anniversary,48,yes,celebrating anniversary,mid,gpt-4o-mini
3398,beautiful music,Beautiful Music,48,no,,high,gpt-4o-mini
3399,blessed,blessed,48,no,,high,gpt-4o-mini
3400,cameron,cameron,48,no,,high,gpt-4o-mini
3401,chil,chil,48,no,,high,gpt-4o-mini
3402,chill pop,Chill pop,48,no,,high,gpt-4o-mini
3403,clean songs,clean songs,48,yes,clean songs for any occasion,mid,gpt-4o-mini
3404,coco,Coco,48,no,,high,gpt-4o-mini
3405,cody,Cody,48,no,,high,gpt-4o-mini
3406,comfort,Comfort,48,no,,high,gpt-4o-mini
3407,dazed and confused,dazed and confused,48,no,,high,gpt-4o-mini
3408,december 2013,December 2013,48,no,,high,gpt-4o-mini
3409,demi lovato,Demi Lovato,48,no,,high,gpt-4o-mini
3410,disneyland,Disneyland,48,no,,high,gpt-4o-mini
3411,emily's playlist,Emily's playlist,48,no,,high,gpt-4o-mini
3412,get it girl,get it girl,48,yes,empowering songs for motivation,mid,gpt-4o-mini
3413,gypsy,Gypsy,48,no,,high,gpt-4o-mini
3414,hair metal,Hair Metal,48,no,,high,gpt-4o-mini
3415,hold on,hold on,48,no,,high,gpt-4o-mini
3416,hs,HS,48,no,,high,gpt-4o-mini
3417,i dont know,i dont know,48,no,,high,gpt-4o-mini
3418,idfk,idfk,48,no,,high,gpt-4o-mini
3419,indy,INDY,48,no,,high,gpt-4o-mini
3420,jose,jose,48,no,,high,gpt-4o-mini
3421,jp,JP,48,no,,high,gpt-4o-mini
3422,kendrick,kendrick,48,no,,high,gpt-4o-mini
3423,lights,Lights,48,no,,high,gpt-4o-mini
3424,lil uzi vert,Lil Uzi Vert,48,no,,high,gpt-4o-mini
3425,lofi,lofi,48,no,,high,gpt-4o-mini
3426,lucas,lucas,48,no,,high,gpt-4o-mini
3427,luke bryan,luke bryan,48,no,,high,gpt-4o-mini
3428,lush,lush,48,no,,high,gpt-4o-mini
3429,matthew,Matthew,48,no,,high,gpt-4o-mini
3430,me likey,Me Likey,48,no,,high,gpt-4o-mini
3431,memory lane,Memory Lane,48,no,,high,gpt-4o-mini
3432,motivate,Motivate,48,yes,songs to inspire and energize,mid,gpt-4o-mini
3433,musica en español,Musica en español,48,no,,high,gpt-4o-mini
3434,musical theater,Musical Theater,48,no,,high,gpt-4o-mini
3435,news,News,48,no,,high,gpt-4o-mini
3436,old people music,old people music,48,no,,high,gpt-4o-mini
3437,paint,Paint,48,no,,high,gpt-4o-mini
3438,palm springs,Palm Springs,48,no,,high,gpt-4o-mini
3439,para bailar,Para bailar,48,yes,dance music for parties,mid,gpt-4o-mini
3440,playlist #2,playlist #2,48,no,,,gpt-4o-mini
3441,pm,PM,48,no,,,gpt-4o-mini
3442,pp,Pp,48,no,,,gpt-4o-mini
3443,queen b,Queen B,48,no,,,gpt-4o-mini
3444,rap caviar,RAP Caviar,48,no,,,gpt-4o-mini
3445,rap it up,Rap it up,48,yes,for rap music enjoyment,mid,gpt-4o-mini
3446,retrograde,retrograde,48,no,,,gpt-4o-mini
3447,rob,Rob,48,no,,,gpt-4o-mini
3448,russ,Russ,48,no,,,gpt-4o-mini
3449,shmood,SHmood,48,no,,,gpt-4o-mini
3450,sinatra,Sinatra,48,no,,,gpt-4o-mini
3451,slower,Slower,48,no,,,gpt-4o-mini
3452,something good,Something Good,48,no,,,gpt-4o-mini
3453,sorry not sorry,Sorry Not Sorry,48,no,,,gpt-4o-mini
3454,sound,sound,48,no,,,gpt-4o-mini
3455,south,South,48,no,,,gpt-4o-mini
3456,spanish worship,Spanish worship,48,no,,,gpt-4o-mini
3457,spirit,Spirit,48,no,,,gpt-4o-mini
3458,spm,SPM,48,no,,,gpt-4o-mini
3459,stuff and things,Stuff and things,48,no,,,gpt-4o-mini
3460,summer days,Summer Days,48,yes,for summer vibes,mid,gpt-4o-mini
3461,this is it,THIS IS IT,48,no,,,gpt-4o-mini
3462,throwbacksss,throwbacksss,48,no,,,gpt-4o-mini
3463,uh huh,uh huh,48,no,,,gpt-4o-mini
3464,vanessa,Vanessa,48,no,,,gpt-4o-mini
3465,vinyasa,Vinyasa,48,yes,for yoga practice,mid,gpt-4o-mini
3466,wedding - dance,Wedding - Dance,48,yes,for wedding dancing,high,gpt-4o-mini
3467,whoa,Whoa,48,no,,,gpt-4o-mini
3468,worship mix,worship mix,48,yes,for worship sessions,mid,gpt-4o-mini
3469,you already know,You already know,48,no,,,gpt-4o-mini
3470,your workout playlist,Your Workout Playlist,48,yes,for workout sessions,high,gpt-4o-mini
3471,⚡️⚡️⚡️,⚡️⚡️⚡️,48,no,,,gpt-4o-mini
3472,🖕🏼,🖕🏼,48,no,,,gpt-4o-mini
3473,🤙🏻,🤙🏻,48,no,,,gpt-4o-mini
3474,1-800-273-8255,1-800-273-8255,47,no,,,gpt-4o-mini
3475,26,26,47,no,,,gpt-4o-mini
3476,90s baby,90s baby,47,no,,,gpt-4o-mini
3477,acoustic chill,Acoustic Chill,47,yes,for relaxing acoustic music,mid,gpt-4o-mini
3478,again,Again,47,no,,,gpt-4o-mini
3479,another,Another,47,no,,,gpt-4o-mini
3480,audrey,Audrey,47,no,,,gpt-4o-mini
3481,bahamas,Bahamas,47,no,,,gpt-4o-mini
3482,bean,Bean,47,no,,,gpt-4o-mini
3483,bg,BG,47,no,,,gpt-4o-mini
3484,bri,Bri,47,no,,,gpt-4o-mini
3485,chillin out,Chillin Out,47,yes,relaxing or unwinding,high,gpt-4o-mini
3486,christmas 2013,Christmas 2013,47,yes,holiday celebration,high,gpt-4o-mini
3487,club music,Club Music,47,no,,,gpt-4o-mini
3488,dallas,Dallas,47,no,,,gpt-4o-mini
3489,dance class,Dance Class,47,yes,dance practice,high,gpt-4o-mini
3490,daze,Daze,47,no,,,gpt-4o-mini
3491,disney <3,Disney <3,47,no,,,gpt-4o-mini
3492,exo,EXO,47,no,,,gpt-4o-mini
3493,feel good country,feel good country,47,yes,uplifting country music,mid,gpt-4o-mini
3494,feelin' myself,Feelin' Myself,47,yes,self-empowerment,mid,gpt-4o-mini
3495,foxtrot,Foxtrot,47,no,,,gpt-4o-mini
3496,gains,Gains,47,yes,fitness or workout,high,gpt-4o-mini
3497,gangster,Gangster,47,no,,,gpt-4o-mini
3498,go to sleep,Go To Sleep,47,yes,bedtime,high,gpt-4o-mini
3499,gp,GP,47,no,,,gpt-4o-mini
3500,hair,HAIR,47,no,,,gpt-4o-mini
3501,haus,Haus,47,no,,,gpt-4o-mini
3502,hypebeast,HYPEBEAST,47,no,,,gpt-4o-mini
3503,icy,icy,47,no,,,gpt-4o-mini
3504,jams 2.0,Jams 2.0,47,no,,,gpt-4o-mini
3505,jelly,jelly,47,no,,,gpt-4o-mini
3506,jewish,jewish,47,no,,,gpt-4o-mini
3507,juicy,Juicy,47,no,,,gpt-4o-mini
3508,justin timberlake,Justin Timberlake,47,no,,,gpt-4o-mini
3509,kylie,Kylie,47,no,,,gpt-4o-mini
3510,lady jams,lady jams,47,yes,female empowerment,mid,gpt-4o-mini
3511,lecrae,Lecrae,47,no,,,gpt-4o-mini
3512,let me love you,Let Me Love You,47,no,,,gpt-4o-mini
3513,life sucks,Life Sucks,47,no,,,gpt-4o-mini
3514,life's a beach,Life's a Beach,47,yes,beach vibes,mid,gpt-4o-mini
3515,lit asf,lit asf,47,no,,,gpt-4o-mini
3516,lord of the rings,Lord Of the Rings,47,no,,,gpt-4o-mini
3517,love you,love you,47,no,,,gpt-4o-mini
3518,mask off,Mask Off,47,no,,,gpt-4o-mini
3519,motorcycle,motorcycle,47,no,,,gpt-4o-mini
3520,new playlist 3,New Playlist 3,47,no,,,gpt-4o-mini
3521,nuevo,NUEVO,47,no,,,gpt-4o-mini
3522,oldie but a goodie,oldie but a goodie,47,no,,,gpt-4o-mini
3523,ost,OST,47,no,,,gpt-4o-mini
3524,pain,pain,47,no,,,gpt-4o-mini
3525,persian,persian,47,no,,,gpt-4o-mini
3526,piano guys,Piano Guys,47,no,,,gpt-4o-mini
3527,picnic,picnic,47,yes,for a picnic,high,gpt-4o-mini
3528,ptl,ptl,47,no,,,gpt-4o-mini
3529,race,Race,47,no,,,gpt-4o-mini
3530,rap2,rap2,47,no,,,gpt-4o-mini
3531,religious,religious,47,no,,,gpt-4o-mini
3532,round 2,round 2,47,no,,,gpt-4o-mini
3533,run forest run,run forest run,47,yes,for running,high,gpt-4o-mini
3534,sensual,Sensual,47,no,,,gpt-4o-mini
3535,silence,Silence,47,no,,,gpt-4o-mini
3536,sky,Sky,47,no,,,gpt-4o-mini
3537,sleep songs,sleep songs,47,yes,for sleeping,high,gpt-4o-mini
3538,something else,something else,47,no,,,gpt-4o-mini
3539,suggestions,Suggestions,47,no,,,gpt-4o-mini
3540,surrender,surrender,47,no,,,gpt-4o-mini
3541,the blues,the Blues,47,no,,,gpt-4o-mini
3542,the essentials,The Essentials,47,no,,,gpt-4o-mini
3543,the voice,The Voice,47,no,,,gpt-4o-mini
3544,tom,Tom,47,no,,,gpt-4o-mini
3545,toons,toons,47,no,,,gpt-4o-mini
3546,upbeat country,Upbeat Country,47,no,,,gpt-4o-mini
3547,viejitas pero bonitas,Viejitas Pero Bonitas,47,no,,,gpt-4o-mini
3548,voices,voices,47,no,,,gpt-4o-mini
3549,wind down,wind down,47,yes,to wind down,high,gpt-4o-mini
3550,y2k,Y2K,47,no,,,gpt-4o-mini
3551,•••,•••,47,no,,,gpt-4o-mini
3552,116,116,46,no,,,gpt-4o-mini
3553,1234,1234,46,no,,,gpt-4o-mini
3554,2016 jams,2016 jams,46,no,,,gpt-4o-mini
3555,80's playlist,80's playlist,46,no,,,gpt-4o-mini
3556,addicted,Addicted,46,no,,,gpt-4o-mini
3557,alex's playlist,Alex's Playlist,46,no,,,gpt-4o-mini
3558,allie,allie,46,no,,,gpt-4o-mini
3559,aloha,aloha,46,no,,,gpt-4o-mini
3560,august 16,august 16,46,no,,,gpt-4o-mini
3561,australia,AUSTRALIA,46,no,,,gpt-4o-mini
3562,ayeeee,AYEEEE,46,no,,,gpt-4o-mini
3563,baile,baile,46,no,,,gpt-4o-mini
3564,bandas,Bandas,46,no,,,gpt-4o-mini
3565,bath time,bath time,46,yes,for bath time,high,gpt-4o-mini
3566,bc,BC,46,no,,,gpt-4o-mini
3567,beastmode,beastmode,46,yes,for motivation,mid,gpt-4o-mini
3568,best of country,Best of Country,46,no,,,gpt-4o-mini
3569,big little lies,Big Little Lies,46,no,,,gpt-4o-mini
3570,black beatles,Black Beatles,46,no,,,gpt-4o-mini
3571,blake,Blake,46,no,,,gpt-4o-mini
3572,bobby,Bobby,46,no,,,gpt-4o-mini
3573,brooklyn,brooklyn,46,no,,,gpt-4o-mini
3574,cancer,Cancer,46,no,,,gpt-4o-mini
3575,car trip,Car Trip,46,yes,for car trips,high,gpt-4o-mini
3576,childhood songs,childhood songs,46,no,,,gpt-4o-mini
3577,contemporary christian,Contemporary Christian,46,no,,,gpt-4o-mini
3578,country jam,Country Jam,46,no,,,gpt-4o-mini
3579,country ❤️,country ❤️,46,no,,,gpt-4o-mini
3580,dancing music,Dancing Music,46,yes,for dancing,high,gpt-4o-mini
3581,dank memes,dank memes,46,no,,,gpt-4o-mini
3582,driving mix,Driving mix,46,yes,for driving,high,gpt-4o-mini
3583,fade,Fade,46,no,,,gpt-4o-mini
3584,for rachel,for rachel,46,no,,,gpt-4o-mini
3585,fsu,FSU,46,no,,,gpt-4o-mini
3586,get happy,get happy,46,yes,to feel happy,mid,gpt-4o-mini
3587,get low,get low,46,no,,,gpt-4o-mini
3588,glory,Glory,46,no,,,gpt-4o-mini
3589,good time,good time,46,yes,for a good time,mid,gpt-4o-mini
3590,happy day,Happy day,46,yes,for a happy day,mid,gpt-4o-mini
3591,houston,Houston,46,no,,,gpt-4o-mini
3592,hype songs,hype songs,46,yes,for hype,mid,gpt-4o-mini
3593,idk yet,idk yet,46,no,,,gpt-4o-mini
3594,jams 2,Jams 2,46,no,,,gpt-4o-mini
3595,january 17,JANUARY 17,46,no,,,gpt-4o-mini
3596,jesus jamz,jesus jamz,46,no,,,gpt-4o-mini
3597,julie,julie,46,no,,,gpt-4o-mini
3598,jumpman,Jumpman,46,no,,,gpt-4o-mini
3599,just chillin',Just Chillin',46,yes,for chilling,mid,gpt-4o-mini
3600,labor,Labor,46,no,,,gpt-4o-mini
3601,lacrosse,Lacrosse,46,no,,,gpt-4o-mini
3602,let go,Let Go,46,no,,,gpt-4o-mini
3603,lo-fi,lo-fi,46,no,,,gpt-4o-mini
3604,loml,LOML,46,no,,,gpt-4o-mini
3605,lonely,lonely,46,no,,,gpt-4o-mini
3606,losin control,Losin Control,46,no,,,gpt-4o-mini
3607,love <3,Love <3,46,no,,,gpt-4o-mini
3608,medicine,Medicine,46,no,,,gpt-4o-mini
3609,mellow out,Mellow Out,46,yes,chill out music,high,gpt-4o-mini
3610,memphis,Memphis,46,no,,,gpt-4o-mini
3611,murica,Murica,46,no,,,gpt-4o-mini
3612,my ish,MY ISH,46,no,,,gpt-4o-mini
3613,my race day soundtrack,My race day soundtrack,46,yes,race day soundtrack,high,gpt-4o-mini
3614,nina,nina,46,no,,,gpt-4o-mini
3615,odd future,Odd Future,46,no,,,gpt-4o-mini
3616,old classics,Old Classics,46,no,,,gpt-4o-mini
3617,oops,oops,46,no,,,gpt-4o-mini
3618,oth,oth,46,no,,,gpt-4o-mini
3619,paisa,Paisa,46,no,,,gpt-4o-mini
3620,party people,party people,46,yes,party music,high,gpt-4o-mini
3621,piano music,Piano Music,46,no,,,gpt-4o-mini
3622,pop country,Pop Country,46,no,,,gpt-4o-mini
3623,post rock,post rock,46,no,,,gpt-4o-mini
3624,programming,Programming,46,yes,programming music,high,gpt-4o-mini
3625,rager,rager,46,yes,party music,high,gpt-4o-mini
3626,ride or die,Ride or die,46,yes,friendship vibes,mid,gpt-4o-mini
3627,rwby,RWBY,46,no,,,gpt-4o-mini
3628,sc,SC,46,no,,,gpt-4o-mini
3629,shoegaze,shoegaze,46,no,,,gpt-4o-mini
3630,shower 2,shower 2,46,yes,shower music,high,gpt-4o-mini
3631,slide,slide,46,no,,,gpt-4o-mini
3632,so good,So Good,46,no,,,gpt-4o-mini
3633,spa,SPA,46,no,,,gpt-4o-mini
3634,speechless,Speechless,46,no,,,gpt-4o-mini
3635,spring has sprung,spring has sprung,46,yes,springtime vibes,mid,gpt-4o-mini
3636,stoner,stoner,46,no,,,gpt-4o-mini
3637,stronger,Stronger,46,no,,,gpt-4o-mini
3638,the oldies,The Oldies,46,no,,,gpt-4o-mini
3639,tranquility,Tranquility,46,no,,,gpt-4o-mini
3640,travis,Travis,46,no,,,gpt-4o-mini
3641,vday,VDAY,46,yes,Valentine's Day celebration,mid,gpt-4o-mini
3642,vietnam,vietnam,46,no,,,gpt-4o-mini
3643,violin,violin,46,no,,,gpt-4o-mini
3644,wake up!,Wake Up!,46,yes,Morning routine,high,gpt-4o-mini
3645,winter '16,Winter '16,46,no,,,gpt-4o-mini
3646,with you,With You,46,no,,,gpt-4o-mini
3647,work songs,work songs,46,yes,Work environment,high,gpt-4o-mini
3648,worship.,Worship.,46,yes,Religious gathering,mid,gpt-4o-mini
3649,yg,YG,46,no,,,gpt-4o-mini
3650,❣️,❣️,46,no,,,gpt-4o-mini
3651,🔥fire🔥,🔥fire🔥,46,no,,,gpt-4o-mini
3652,2016-2017,2016-2017,45,no,,,gpt-4o-mini
3653,adventures,Adventures,45,yes,Adventure activities,mid,gpt-4o-mini
